corpus_long,bank,meeting_date,score_component,score
FOMC statements,FOMC,2013-01-30,Economic score,0
FOMC statements,FOMC,2013-01-30,Aggregate net score,-0.4074074074074074
FOMC statements,FOMC,2013-03-20,Policy score,-0.4545454545454546
FOMC statements,FOMC,2013-03-20,Economic score,0
FOMC statements,FOMC,2013-03-20,Aggregate net score,-0.38461538461538464
FOMC statements,FOMC,2013-05-01,Policy score,-0.5454545454545454
FOMC statements,FOMC,2013-05-01,Economic score,0
FOMC statements,FOMC,2013-05-01,Aggregate net score,-0.4615384615384616
FOMC statements,FOMC,2013-06-19,Policy score,-0.5454545454545454
FOMC statements,FOMC,2013-06-19,Economic score,-0.06666666666666667
FOMC statements,FOMC,2013-06-19,Aggregate net score,-0.48148148148148145
FOMC statements,FOMC,2013-07-31,Policy score,-0.5454545454545454
FOMC statements,FOMC,2013-07-31,Economic score,0
FOMC statements,FOMC,2013-07-31,Aggregate net score,-0.4615384615384616
FOMC statements,FOMC,2013-09-18,Policy score,-0.5833333333333334
FOMC statements,FOMC,2013-09-18,Economic score,-0.06666666666666667
FOMC statements,FOMC,2013-09-18,Aggregate net score,-0.5172413793103449
FOMC statements,FOMC,2013-10-30,Policy score,-0.5833333333333334
FOMC statements,FOMC,2013-10-30,Economic score,0.06666666666666667
FOMC statements,FOMC,2013-10-30,Aggregate net score,-0.4482758620689655
FOMC statements,FOMC,2013-12-18,Policy score,-0.6
FOMC statements,FOMC,2013-12-18,Economic score,0.125
FOMC statements,FOMC,2013-12-18,Aggregate net score,-0.41935483870967744
FOMC statements,FOMC,2014-01-29,Policy score,-0.5833333333333334
FOMC statements,FOMC,2014-01-29,Economic score,0.07692307692307693
FOMC statements,FOMC,2014-01-29,Aggregate net score,-0.48148148148148145
